Run,Fitness1,Solution1,Fitness2,Solution2
0,8.2241875E8,0063002500100041007000940017001900400018,4.85333344E8,0060002800140041004900800020004800420035
1,3.25528128E8,0042008100750036006100790067002200950038,1.47986352E8,0044004700750036004300680055005000870044
2,2.30065936E8,0057005100470010004200780042004000690051,1.47438432E8,0056003700490010003100660037006100660049
3,4.28226867E9,0080006300050038001000560040009100740071,2.39479245E9,0072004100090038001200490036009200700058
4,2.270796E7,0052006900120024004000370090006100190051,2.0507506E7,0052004300160024003100330070007400250049
5,4.7203184E8,0060001100050016003500830058008700340048,2.87053024E8,0058002300100016002700710048009000370048
6,5.25585408E8,0060005700260006003900250021006200560031,3.17571136E8,0058003900290006003000240023007500550041
7,1.20424704E9,0034004300310005000700540035005000770054,5.9335776E8,0039003400330005000900480033006700730051
8,2.09294992E8,0043006400130015007900570035007000510073,9.1173672E7,0046004100170016005500500032008000510059
9,1.5102503E7,0052002900770092001400190027009500540048,1.5102503E7,0052002900770092001400190027009500540048
10,2.76621389E9,0026006100410062002700640056004400360073,1.4028457E9,0033004000430062002200550047006400390059
11,4.24157338E9,0080002200260034002200850024003300910092,2.37250842E9,0072002700290034001900720025005700850067
12,2.9724388E7,0052000600730031004100600006000700210009,2.5301306E7,0052002100740031003100520012004000270032
13,3.99821926E9,0079004400510072002700230086001800200049,2.2392553E9,0072003400530072002200220068004700260048
14,4.3684905E9,0080002000750054001900070039007700850055,2.44198195E9,0072002600750054001700100035008400800051
15,5.0087967E9,0018002100600051005900140062000700090025,2.57651328E9,0027002700610051004200150051004100170038
16,6.367574E9,0086001800460051003100550059004500440019,3.5337577E9,0077002600480052002500480049006400460036
17,2.03435558E9,0071004300830086002300470054007800130077,1.1596055E9,0065003400820086002000410045008400200060
18,1.63994266E9,0032001700880022007500580094006100070073,8.1792768E8,0037002500870022005200510073007400160059
19,1.036792E8,0055005200650072004000220061008600720024,7.2140984E7,0054003700660072003000210050008900690038
20,4.1991184E7,0053000900100068004800190089003200110015,3.3443724E7,0053002200140068003600190070005600180034
21,2.5264316E7,0048003800750055004600260081007900220017,6971102.5,0049003200750055003400240064008500270035
22,1.01096728E8,0045002700950064006500660058008800330093,3.9933604E7,0047002900940064004600570048009100370067
23,2.73012608E9,0026003900680089008300210083001800860013,1.38403533E9,0033003300690089005800200065004800800033
24,2.993754E7,0048005700450080002200890020008700940056,8803016.0,0049003800470080001900760022009000870052
25,2.2403512E8,0043007200060072004300060064000600180021,9.8304496E7,0045004400110072003200090052004000240037
26,3.40950093E9,0023008900920032005800830071003500750095,1.73862195E9,0031004900910032004200710057005800710068
27,4.970453E9,0082008300850087003500230052002600310035,2.77116032E9,0074004700850087002800220044005300350042
28,6.5634816E7,0046009500870045007400450008007100650027,2.3907718E7,0048005200860046005200400014008000630039
29,2.93504768E9,0025004600670085008000770082007200740043,1.49088384E9,0032003500680085005600660065008100700046
0,4.85333344E8,0063002500100041007000940017001900400018,2.24108832E8,0057003200270041002500380050008900350051
1,1.47986352E8,0042008100750036006100790067002200950038,4.1739476E7,0047001100750037002400350049008900420044
2,1.47438432E8,0057005100470010004200780042004000690051,7.6993888E7,0054002200550011002400340050009000380039
3,2.39479245E9,0080006300050038001000560040009100740071,1.01324666E9,0064001800240038002300300050009100390031
4,2.0507506E7,0052006900120024004000370090006100190051,1.6033744E7,0052001500290024002400260049009000320039
5,2.87053024E8,0060001100050016003500830058008700340048,1.38819472E8,0055003700240016002300360049009100340040
6,3.17571136E8,0060005700260006003900250021006200560031,1.5209376E8,0056002000390007002300230050009000370046
7,5.9335776E8,0034004300310005000700540035005000770054,1.9884752E8,0044002500430006002200290050009000390038
8,9.1173672E7,0043006400130015007900570035007000510073,2.324998E7,0048001700300016002500300050009100360031
9,1.5102503E7,0052002900770092001400190027009500540048,1.2966612E7,0052003000760092002300220050009100360040
10,1.4028457E9,0026006100410062002700640056004400360073,4.97634912E8,0040001900500062002300310049009000340031
11,2.37250842E9,0080002200260034002200850024003300910092,1.00415834E9,0064003300390034002300360050008900410024
12,2.5301306E7,0052000600730031004100600006000700210009,1.863931E7,0052003900740031002400310050008900320054
13,2.2392553E9,0079004400510072002700230086001800200049,9.4980947E8,0064002500580072002300230049008900320040
14,2.44198195E9,0080002000750054001900070039007700850055,1.03247482E9,0065003400750054002300190050009100400037
15,2.57651328E9,0018002100600051005900140062000700090025,9.391289E8,0036003300640051002400210049008900310048
16,3.5337577E9,0086001800460051003100550059004500440019,1.47586714E9,0067003400540052002300290049009000350051
17,1.1596055E9,0071004300830086002300470054007800130077,5.0645968E8,0060002500810086002300280049009100310029
18,8.1792768E8,0032001700880022007500580094006100070073,2.80850912E8,0042003500850022002500300049009000310031
19,7.2140984E7,0055005200650072004000220061008600720024,4.2094528E7,0053002200680072002400220049009100390048
20,3.3443724E7,0053000900100068004800190089003200110015,2.2936314E7,0052003800270068002400220049008900310052
21,6971102.5,0048003800750055004600260081007900220017,260290.48,0050002700750055002400230049009100320051
22,3.9933604E7,0045002700950064006500660058008800330093,7838110.5,0049003100900064002400320049009100340024
23,1.38403533E9,0026003900680089008300210083001800860013,4.90615328E8,0040002700700089002500220049008900400053
24,8803016.0,0048005700450080002200890020008700940056,500924.5,0050002000530080002300370050009100420037
25,9.8304496E7,0043007200060072004300060064000600180021,2.5513432E7,0048001400250072002400190049008900320050
26,1.73862195E9,0023008900920032005800830071003500750095,6.2331635E8,0039000800870032002400350049008900390023
27,2.77116032E9,0082008300850087003500230052002600310035,1.16647181E9,0066001000830087002300230049008900330045
28,2.3907718E7,0046009500870045007400450008007100650027,3634254.0,0049000500840046002500270050009100380048
29,1.49088384E9,0025004600670085008000770082007200740043,5.30518624E8,0040002400690085002500340049009100390042
0,2.24108832E8,0060002800140041004900800020004800420035,3.0821238E7,0053003500600045000200000076012600270065
