stat,,sPSO - gPSO,sPSO - gPSO,sPSO - 20PSO,sPSO - 20PSO,sPSO - iPSO,sPSO - iPSO,sPSO - rPSO,sPSO - rPSO,sPSO - vnPSO,sPSO - vnPSO,gPSO - 20PSO,gPSO - 20PSO,gPSO - iPSO,gPSO - iPSO,gPSO - rPSO,gPSO - rPSO,gPSO - vnPSO,gPSO - vnPSO,20PSO - iPSO,20PSO - iPSO,20PSO - rPSO,20PSO - rPSO,20PSO - vnPSO,20PSO - vnPSO,iPSO - rPSO,iPSO - rPSO,iPSO - vnPSO,iPSO - vnPSO,rPSO - vnPSO,rPSO - vnPSO
p-val,,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val,stat,p-val
indicator,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRoC Type A,Attractive Sector,0.6333333333333333,5.795481973815609e-06,0.2,0.5940706297759378,1.0,1.6911233892144742e-17,0.5333333333333333,0.0002933405491362055,0.3,0.13500350250095441,0.7333333333333333,4.326943555111202e-08,1.0,1.6911233892144742e-17,0.9666666666666667,1.0146740335286845e-15,0.7333333333333333,4.326943555111202e-08,1.0,1.6911233892144742e-17,0.4,0.015643390496754332,0.2,0.5940706297759378,1.0,1.6911233892144742e-17,1.0,1.6911233892144742e-17,0.3,0.13500350250095441
DRoC Type A,Brown,0.5666666666666667,8.737803591291227e-05,0.2,0.5940706297759378,1.0,1.6911233892144742e-17,0.43333333333333335,0.006548396368058784,0.23333333333333334,0.39294501397971776,0.5333333333333333,0.0002933405491362055,1.0,1.6911233892144742e-17,0.7,2.5000118318420276e-07,0.6666666666666666,1.2750060342394341e-06,1.0,1.6911233892144742e-17,0.36666666666666664,0.034580084963334506,0.2,0.5940706297759378,1.0,1.6911233892144742e-17,1.0,1.6911233892144742e-17,0.2,0.5940706297759378
DRoC Type A,Discus,0.4,0.015643390496754332,0.6666666666666666,1.2750060342394341e-06,1.0,1.6911233892144742e-17,0.6666666666666666,1.2750060342394341e-06,0.6333333333333333,5.795481973815609e-06,0.43333333333333335,0.006548396368058784,1.0,1.6911233892144742e-17,0.36666666666666664,0.034580084963334506,0.26666666666666666,0.23907300248018645,1.0,1.6911233892144742e-17,0.26666666666666666,0.23907300248018645,0.16666666666666666,0.8079631540901643,1.0,1.6911233892144742e-17,1.0,1.6911233892144742e-17,0.16666666666666666,0.8079631540901643
DRoC Type A,Ellipsoidal,0.3333333333333333,0.07088798787114439,0.2,0.5940706297759378,1.0,1.6911233892144742e-17,0.6,2.366488472641374e-05,0.3,0.13500350250095441,0.4,0.015643390496754332,1.0,1.6911233892144742e-17,0.8,8.466416460035895e-10,0.5333333333333333,0.0002933405491362055,1.0,1.6911233892144742e-17,0.8,8.466416460035895e-10,0.3333333333333333,0.07088798787114439,1.0,1.6911233892144742e-17,1.0,1.6911233892144742e-17,0.5,0.0008995776840176799
DRoC Type A,Elliptic,0.5,0.0008995776840176799,0.3,0.13500350250095441,1.0,1.6911233892144742e-17,0.43333333333333335,0.006548396368058784,0.4,0.015643390496754332,0.7,2.5000118318420276e-07,1.0,1.6911233892144742e-17,0.8,8.466416460035895e-10,0.8,8.466416460035895e-10,1.0,1.6911233892144742e-17,0.6,2.366488472641374e-05,0.26666666666666666,0.23907300248018645,1.0,1.6911233892144742e-17,1.0,1.6911233892144742e-17,0.36666666666666664,0.034580084963334506
DRoC Type A,Exponential,0.5333333333333333,0.0002933405491362055,0.16666666666666666,0.8079631540901643,1.0,1.6911233892144742e-17,0.3333333333333333,0.07088798787114439,0.23333333333333334,0.39294501397971776,0.6333333333333333,5.795481973815609e-06,1.0,1.6911233892144742e-17,0.8333333333333334,9.236090683675521e-11,0.7333333333333333,4.326943555111202e-08,1.0,1.6911233892144742e-17,0.3333333333333333,0.07088798787114439,0.2,0.5940706297759378,1.0,1.6911233892144742e-17,1.0,1.6911233892144742e-17,0.23333333333333334,0.39294501397971776
DRoC Type A,Drop Wave,0.16666666666666666,0.8079631540901643,0.23333333333333334,0.39294501397971776,1.0,1.6911233892144742e-17,0.6,2.366488472641374e-05,0.23333333333333334,0.39294501397971776,0.26666666666666666,0.23907300248018645,1.0,1.6911233892144742e-17,0.6333333333333333,5.795481973815609e-06,0.26666666666666666,0.23907300248018645,1.0,1.6911233892144742e-17,0.4,0.015643390496754332,0.1,0.9988393756362763,1.0,1.6911233892144742e-17,1.0,1.6911233892144742e-17,0.4,0.015643390496754332
DRoC Type A,Egg Crate,0.3,0.13500350250095441,0.26666666666666666,0.23907300248018645,1.0,1.6911233892144742e-17,0.8666666666666667,8.246509538996e-12,0.3333333333333333,0.07088798787114439,0.5333333333333333,0.0002933405491362055,1.0,1.6911233892144742e-17,0.9,5.78702423789193e-13,0.5666666666666667,8.737803591291227e-05,1.0,1.6911233892144742e-17,0.8666666666666667,8.246509538996e-12,0.13333333333333333,0.9578462903438838,1.0,1.6911233892144742e-17,1.0,1.6911233892144742e-17,0.9,5.78702423789193e-13
