,Indicator,Metaheuristic,Function,DRoC Type A,DRoC Type B,ERT Diversity,Critical Diversity,FRoC Type A,FRoC Type B,ERT Fitness,Critical Fitness,SRoC Type A,SRoC Type B,ERT Separation,Critical Separation,MRoC Type A,MRoC Type B,ERT Mobility,Critical Mobility,ntotal*,nshared*,Mean ID,Mean GC,SNID,EXPLORE%,INFEASIBLE%
0,DRoC Type A,GBestPSO,AttractiveSector,1.0,0.6321833339712556,0.885376846682056,-0.6456872325137549,-0.08095448921660335,-0.24501731565768597,-0.08209224721227583,0.24498193975491042,0.25259502008989715,-0.22286172156584458,0.19337259159731482,0.2061028373278446,0.023593732029473815,-0.2740271982698968,-0.0305333749520986,0.24953219799146176,0.40106174809906114,0.3951853450824422,0.18953291645548725,-0.1895329164554863,0.08430098199207346,0.34558966966484644,0.17772808748707128
1,DRoC Type B,GBestPSO,AttractiveSector,0.6321833339712556,1.0,0.6211937871464772,-0.9997316672685207,-0.04095802781739653,-0.32942927767236946,-0.1254234857869956,0.32852266325155294,0.28916755076714107,-0.08353908618973335,0.25639311222874933,0.068035579713696,0.10696296923886012,-0.37462681689332883,0.08431918108898312,0.37860898490427164,0.3175674666126112,-0.03626530724413651,0.2238672333774378,-0.22386723337743644,0.172262280131155,0.06553290915819739,0.1274458143059286
2,ERT Diversity,GBestPSO,AttractiveSector,0.885376846682056,0.6211937871464772,1.0,-0.6332608417740103,-0.0008926484551993362,-0.29487956650170966,0.058929509710981536,0.29439797524232364,0.3969006549069726,-0.07463530335602656,0.3822585523597513,0.05313560123508837,0.09852623958277346,-0.18299116787436961,0.1764401771407768,0.1560556083734002,0.5897657416532185,0.36366968214982875,-0.005114686784439163,0.005114686784440192,0.21269226416788223,0.6817227672958366,0.08231518132191551
3,Critical Diversity,GBestPSO,AttractiveSector,-0.6456872325137549,-0.9997316672685207,-0.6332608417740103,1.0,0.04215957096181856,0.3313589572592129,0.12351262811943346,-0.33045585282397455,-0.29475106648031074,0.08398814684869937,-0.2610681777000502,-0.06822086727124475,-0.10432928168069704,0.3727593527917128,-0.08631865096052568,-0.3762040854830636,-0.324438511248351,0.02607473872804589,-0.2247132494492344,0.224713249449233,-0.1731234425952907,-0.07658683990681603,-0.12910392199653908
4,FRoC Type A,GBestPSO,AttractiveSector,-0.08095448921660335,-0.04095802781739653,-0.0008926484551993362,0.04215957096181856,1.0,0.42836456611845375,0.8121651352617977,-0.4321100662444653,-0.13307596388236576,0.002731866126219859,-0.029400705400899226,0.0003888709972499656,0.4988255101639076,0.3572256467588949,0.5027540426596595,-0.34486142537665704,0.0030229653857832698,0.10324971786238542,0.16276898318709596,-0.16276898318709707,-0.008027325941288207,0.08138603436028631,-0.002808840455088372
5,FRoC Type B,GBestPSO,AttractiveSector,-0.24501731565768597,-0.32942927767236946,-0.29487956650170966,0.3313589572592129,0.42836456611845375,1.0,0.5391670607879507,-0.9999860765227607,-0.6815929091700668,-0.40117629450098224,-0.8136775284964142,0.41924169545966056,-0.07797899938263744,0.6087401736905355,-0.14078221946118655,-0.5750960782962615,-0.5307488589689376,0.060085625505684595,0.16043799959552543,-0.16043799959552524,-0.2863582241755128,-0.23286731312526623,0.05289425281048425
6,ERT Fitness,GBestPSO,AttractiveSector,-0.08209224721227583,-0.1254234857869956,0.058929509710981536,0.12351262811943346,0.8121651352617977,0.5391670607879507,1.0,-0.5427311983931151,-0.03065050651690036,0.06604871812029454,-0.02615975698292589,-0.06694258597724329,0.42121320803249257,0.43040446214910943,0.5436832692978641,-0.44789922988724146,0.03674730532280898,0.12527003264934017,0.03275839149145799,-0.032758391491457886,-0.0452118897188259,0.22747032552969773,-0.02957620168479983
7,Critical Fitness,GBestPSO,AttractiveSector,0.24498193975491042,0.32852266325155294,0.29439797524232364,-0.33045585282397455,-0.4321100662444653,-0.9999860765227607,-0.5427311983931151,1.0,0.6799946851391273,0.39935059782855764,0.8119858985622441,-0.4173949361480399,0.07548666182924584,-0.6090839805476951,0.13737072320083185,0.5755067489261602,0.5301479865409188,-0.05957565254367219,-0.1605615276055603,0.16056152760556017,0.2858411294558599,0.23225224899858352,-0.052542466435553284
8,SRoC Type A,GBestPSO,AttractiveSector,0.25259502008989715,0.28916755076714107,0.3969006549069726,-0.29475106648031074,-0.13307596388236576,-0.6815929091700668,-0.03065050651690036,0.6799946851391273,1.0,0.6270542218368276,0.8541033203350938,-0.6480122173134774,0.29582535964046924,-0.4532802412916861,0.4162148537863252,0.4124356022817292,0.5772922395882572,0.07959309668014145,-0.19482604229617875,0.19482604229618056,0.18850408476494326,0.40612183647021344,-0.12457061333021131
9,SRoC Type B,GBestPSO,AttractiveSector,-0.22286172156584458,-0.08353908618973335,-0.07463530335602656,0.08398814684869937,0.002731866126219859,-0.40117629450098224,0.06604871812029454,0.39935059782855764,0.6270542218368276,1.0,0.6225945363479499,-0.9994608803435486,0.1333563464224135,-0.14810087660680296,0.4032084523204115,0.11970415479420848,0.21956223560805097,-0.26715465909648345,-0.22535919372428037,0.22535919372428106,0.32387397685274494,0.12989586594944544,-0.2841712446573156
10,ERT Separation,GBestPSO,AttractiveSector,0.19337259159731482,0.25639311222874933,0.3822585523597513,-0.2610681777000502,-0.029400705400899226,-0.8136775284964142,-0.02615975698292589,0.8119858985622441,0.8541033203350938,0.6225945363479499,1.0,-0.644478802548831,0.3092831490176867,-0.4049963659973138,0.49728571480547484,0.35872856279978577,0.7166170995072115,0.011894885736021413,-0.2663958849201973,0.2663958849201975,0.37252294038352163,0.48965627108452736,-0.11744481721604277
11,Critical Separation,GBestPSO,AttractiveSector,0.2061028373278446,0.068035579713696,0.05313560123508837,-0.06822086727124475,0.0003888709972499656,0.41924169545966056,-0.06694258597724329,-0.4173949361480399,-0.6480122173134774,-0.9994608803435486,-0.644478802548831,1.0,-0.14087090251196002,0.16263535364380755,-0.41068992714835306,-0.13300417462485717,-0.24425520061112124,0.26109630584852866,0.22937770282839262,-0.22937770282839334,-0.3275267259809949,-0.14900854209668626,0.28325176410863445
12,MRoC Type A,GBestPSO,AttractiveSector,0.023593732029473815,0.10696296923886012,0.09852623958277346,-0.10432928168069704,0.4988255101639076,-0.07797899938263744,0.42121320803249257,0.07548666182924584,0.29582535964046924,0.1333563464224135,0.3092831490176867,-0.14087090251196002,1.0,0.1543684267328474,0.7623580876374186,-0.16715998923974817,0.19726476673065393,0.0958217307960714,0.06254662148881711,-0.06254662148881905,-0.3202643089439263,0.03497142598372998,-0.06336231231074577
